role,applyLink,company,experience,salary,location,jobSummary,skills
Python Data Analyst,https://www.naukri.com/job-listings-python-data-analyst-msci-mumbai-0-to-5-years-200225502997,MSCI Services,0-5 Yrs,Not disclosed,Mumbai," This role combines data analysis, process automation, efficiency-building, and data q...","Relationship management
Process automation
Data analysis
Healthcare
Data Analyst
Data quality
Manager Quality Control
Operations"
Data Analyst - 9 months contract role,https://www.naukri.com/job-listings-data-analyst-9-months-contract-role-teg-india-gurugram-0-to-1-years-130225014112,TEG India,0-1 Yrs,Not disclosed,Remote,Your responsibilities will include: . System Understanding: Audit and develop a good kn...,"Econometrics
Data-modelling
Python
Statistics
AWS
Data analysis
Contracts
Data"
Data Analyst (Deployment),https://www.naukri.com/job-listings-data-analyst-deployment-legistify-gurugram-0-to-2-years-221124503740,Legistify,0-2 Yrs,Not disclosed,Gurugram,Legistify is looking for Data Analyst (Deployment) to join our dynamic team and embark ...,"metadata
python
data analysis
data management
data analytics
data validation
configuration
data mining"
Data Analyst,https://www.naukri.com/job-listings-data-analyst-legistify-gurugram-0-to-1-years-221124503733,Legistify,0-1 Yrs,Not disclosed,Gurugram,Legistify is looking for Data Analyst to join our dynamic team and embark on a rewardin...,"metadata
python
data analysis
data management
data analytics
data validation
configuration
data mining"
Data Analyst (World Panel by Kantar),https://www.naukri.com/job-listings-data-analyst-world-panel-by-kantar-numerator-mumbai-0-to-1-years-140225012628,Numerator,0-1 Yrs,3-3.5 Lacs PA,Hybrid - Mumbai,Work experience: Mini 1 years of work experience is preferredUpto 1 year of experience ...,"Advanced Excel
R
Mac
Python
SQL
Excel
Panels
Data analysis"
Data Verification Analyst,https://www.naukri.com/job-listings-data-verification-analyst-foundation-ai-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-5-years-101224501433,Foundation Ai,0-5 Yrs,Not disclosed,"Bengaluru, Mumbai, New Delhi, Kolkata, Hyderabad, Pune, Chennai",Foundation AI is looking for Data Verification Analyst to join our dynamic team and emb...,"metadata
python
data analysis
data management
data analytics
data validation
configuration
data mining"
Data Analyst,https://www.naukri.com/job-listings-data-analyst-digital-glyde-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-3-years-170524500934,Digital Glyde,0-3 Yrs,Not disclosed,"Bengaluru, Mumbai, New Delhi, Kolkata, Hyderabad, Pune, Chennai","Bachelor s degree in a quantitative field (e.g., Statistics, Mathematics, Economics) or...","Data analysis
Excel
Statistical analysis
Analytical
power bi
data integrity
Data Analyst
data visualization"
Data Analyst (AI/ML),https://www.naukri.com/job-listings-data-analyst-ai-ml-inventia-technology-consultants-noida-0-to-1-years-050225021737,Inventia Technology Consultants,0-1 Yrs,2-3.5 Lacs PA,Noida(Sector-67 Noida),"Proficiency in Python, experience with TensorFlow and PyTorch, and familiarity with com...","Data Science
Data Analysis
Ml Algorithms
Machine Learning
Python
Ai Solutions
Artificial Intelligence
Aiml"
Data Analyst,https://www.naukri.com/job-listings-data-analyst-right-step-consulting-private-limited-new-delhi-gurugram-0-to-5-years-110417500945,Right Step Consulting,0-5 Yrs,Not disclosed,"New Delhi, Gurugram",Brief Role : Data Analyst Job Description POSITION : Data Analyst REPORTS TO : Project ...,"Product management
ERP
Data analysis
PHP
Data Analyst
Open source
Data mining
SQL"
Data Analyst,https://www.naukri.com/job-listings-data-analyst-bombay-play-private-limited-bengaluru-0-to-3-years-020224501624,Bombay Play,0-3 Yrs,Not disclosed,Bengaluru,"Flexible timing and work from home daysKnowledge of applied mathematics, statistical me...","C++
Analytical
Machine learning
Javascript
Data Analyst
Open source
Statistics
Analytics"
Openings - Data Analyst (Contractual),https://www.naukri.com/job-listings-openings-data-analyst-contractual-propellum-infotech-pvt-ltd-mumbai-0-to-4-years-150125501664,Propellum Infotech,0-4 Yrs,Not disclosed,Mumbai,. Education . Any Technical Graduate . Other tools / knowledge preferred Skills Experie...,"Product management
Automation
Technology management
Excel
Analytical
Manager Technology
Data Analyst
HTML"
Data Analyst,https://www.naukri.com/job-listings-data-analyst-supergaming-pune-0-to-1-years-250225500672,Supergaming,0-1 Yrs,Not disclosed,Pune,"SuperGaming is seeking a passionate and talented Data Analyst proficient in BigQuery, L...","Google Analytics
GCP
Schema
Performance optimization
Data Analyst
Gaming
Monitoring
Python"
Data Analyst,https://www.naukri.com/job-listings-data-analyst-vgen-software-solutions-coimbatore-0-to-5-years-130125016862,Vgen Software Solutions,0-5 Yrs,Not disclosed,Coimbatore,Advanced proficiency in Excel and SQL; excellent communication skills|Manipulate databa...,"pivot tables
MS Excel
VLOOKUP
Pivot
Advanced Excel
Communication Skills
Countif
MySQL"
Data Analyst,https://www.naukri.com/job-listings-data-analyst-azine-technologies-ahmedabad-0-to-3-years-140225020761,Azine Technologies,0-3 Yrs,Not disclosed,Ahmedabad,"In this role, you will work with real-time datasets uncover insights and collaborate wi...","Python
SQL
R
Django
Pandas
Redis
MongoDB
Fastapi"
Data Engineer / Analyst,https://www.naukri.com/job-listings-data-engineer-analyst-we-shine-academic-chennai-0-to-3-years-080125502324,We Shine Academy,0-3 Yrs,Not disclosed,Chennai,We Shine Academic is looking for Data Engineer / Analyst to join our dynamic team and e...,"hive
python
data analysis
data analytics
oracle
scala
data mining
data warehousing"
Data Analyst,https://www.naukri.com/job-listings-data-analyst-teplar-solutions-coimbatore-0-to-4-years-310320500022,Teplar Solutions,0-4 Yrs,Not disclosed,Coimbatore,"Eye for detail, ability to prioritize, and strong sense of urgency relative to deadline...","Analytical
Litigation
Workflow
Customer support
Business Development Executive
Client interaction
Data Analyst
MS Office"
Data Analysts / HTML Editor,https://www.naukri.com/job-listings-data-analysts-html-editor-i-tech-infonet-pvt-ltd-rajkot-0-to-2-years-260922500760,I-tech Infonet,0-2 Yrs,Not disclosed,Rajkot,Fresher can apply . Project Training will be given by company Diploma / Degree/Masters ...,"Training
Adobe Acrobat
PDF
XML
Epub
HTML
Editor
Testing"
Data Analyst,https://www.naukri.com/job-listings-data-analyst-entytle-iinc-pune-0-to-5-years-010524501422,Entytle,0-5 Yrs,Not disclosed,Pune,Proven experience working with large data sets and deriving insights from data using va...,"Computer science
Data analysis
SAP
Intern
Analytical
Perl
Oracle
Data mining"
Data Analyst,https://www.naukri.com/job-listings-data-analyst-laxmi-india-finance-jaipur-0-to-5-years-200225021005,LAXMI INDIA FINANCE,0-5 Yrs,Not disclosed,Jaipur(MI Road),We're Hiring! Executive - Data Analytics Department - Jaipur MI Road Location!!!Are you...,"Data Analytics
Data Presentation
Data Management
Data Analysis
Reporting
Data Reporting
Presentation
Data"
Data Analysts / HTML Editor,https://www.naukri.com/job-listings-data-analysts-html-editor-ace-soft-export-rajkot-0-to-4-years-280723503843,Ace Software Exports,0-4 Yrs,Not disclosed,Rajkot,Diploma / Degree/Masters in IT related field. .,"Training
Adobe Acrobat
XML
Epub
HTML
Editor
Testing
Adobe"
Data Analyst,https://www.timesjobs.com/job-detail/data-analyst-legalwiz-in-private-limited-ahmedabad-0-to-1-yrs-jobid-bDzx9sjLayRzpSvf__PLUS__uAgZw==&source=srp,legalwiz.in private limited,0 - 1 Years,Not disclosed,Ahmedabad,"Data AnalystExperience: 0-1 yearsResponsibilities:Mine and analyze data from databases to drive optimization and improvement of product development , ...",information technology data mining data warehousing storage dashboards data analyst tableau data visualization +5 more
Data Analyst,https://www.timesjobs.com/job-detail/data-analyst-seven-consultancy-delhi-delhi-ncr-0-to-3-yrs-jobid-P6gvpDmaJ0BzpSvf__PLUS__uAgZw==&source=srp,SEVEN CONSULTANCY,0 - 3 Years,Not disclosed,"Delhi, Delhi/NCR","1.Importing / Collecting , cleaning , converting and analyzing the data for the purpose of find insights and making conclusions.2.Presenting data in...",data analytics big data analytics data mining consulting data reports data analyst database data science data scientist analyst +7 more
Data Analyst,https://www.timesjobs.com/job-detail/data-analyst-seven-consultancy-mumbai-0-to-3-yrs-jobid-RlJxtBfgFZlzpSvf__PLUS__uAgZw==&source=srp,SEVEN CONSULTANCY,0 - 3 Years,Not disclosed,Mumbai,"1.Importing / Collecting , cleaning , converting and analyzing the data for the purpose of find insights and making conclusions.2.Presenting data in...",data analytics big data analytics data mining data reports data analyst database data science data scientist analyst +6 more
