role,applyLink,company,experience,salary,location,jobSummary,skills
Data scientist,https://www.naukri.com/job-listings-data-scientist-growthjockey-gurugram-0-to-1-years-040923500281,Growth Jockey,0-1 Yrs,Not disclosed,Gurugram,"Master s Degree in Computer Science, Statistics, Applied Math or related field . 0-1 ye...","Computer science
Data analysis
SAS
Machine learning
Data structures
Data processing
Predictive modeling
Pattern recognition"
Graduate Data Scientist,https://www.naukri.com/job-listings-graduate-data-scientist-arcadis-consulting-india-pvt-ltd-navi-mumbai-0-to-1-years-011124500329,Arcadis Consulting India Pvt. Ltd,0-1 Yrs,Not disclosed,Navi Mumbai,Qualifications & Experience: . Fresh graduates or candidates with 0-1 year of experienc...,"Data analysis
Version control
GIT
Image processing
Data quality
Natural language processing
Data mining
Monitoring"
Data Scientist,https://www.naukri.com/job-listings-data-scientist-citriot-bengaluru-0-to-2-years-120224501455,Citriot,0-2 Yrs,Not disclosed,Bengaluru,. Masters / Bachelors with a focus on machine learning (deep learning) or image process...,"Computer vision
C++
Image processing
Memory management
Neural networks
MySQL
Machine learning
Stored procedures"
Data Scientist,https://www.naukri.com/job-listings-data-scientist-myntra-com-bengaluru-0-to-5-years-050225503797,Myntra,0-5 Yrs,Not disclosed,Bengaluru,"People with MTech, MS by Research or PhD in Computer Science / Electrical Engineering, ...","Supply chain
Computer vision
Operations research
data science
Neural networks
Machine learning
Data structures
Natural language processing"
Data Scientist,https://www.naukri.com/job-listings-data-scientist-data-collection-infotech-india-private-limited-bengaluru-0-to-4-years-310723500135,Data Collection Infotech,0-4 Yrs,Not disclosed,Bengaluru,"Collaborate with other data analysts to provide development coverage, support . Desired...","Logistic regression
Data analysis
Client servicing
Trend analysis
Data mining
Individual Contributor
SQL
Python"
Data Scientist At a Fintech Unicorn,https://www.naukri.com/job-listings-data-scientist-at-a-fintech-unicorn-recruito-bengaluru-0-to-3-years-280125009642,Recruito,0-3 Yrs,15-19 Lacs PA,Remote,ResponsibilitiesDevelop advanced models and run experiments to extract actionable insig...,"Machine Learning
Computer Vision
Python
Data
Fintech
Vision
Machine
Computer"
Group Audit - Data Scientist,https://www.naukri.com/job-listings-group-audit-data-scientist-dws-group-mumbai-0-to-1-years-100924500764,DWS Investment,0-1 Yrs,Not disclosed,Mumbai,Master s degree (or equivalent) from an accredited college or university (or equivalent...,"python
data analytics
confluence
data analysis
natural language processing
scikit-learn
openshift
jupyter notebook"
Data Scientist - Entry Level,https://www.naukri.com/job-listings-data-scientist-entry-level-acess-meditech-private-limited-hyderabad-0-to-3-years-210225503361,Acess Meditech,0-3 Yrs,Not disclosed,Hyderabad,"The ideal candidate should be passionate about building models, extracting insights fro...","image processing
kubernetes
python
data analysis
scikit-learn
power bi
machine learning
artificial intelligence"
Data Scientist,https://www.naukri.com/job-listings-data-scientist-akaike-technologies-bengaluru-0-to-6-years-231122500033,Akaike Technologies,0-6 Yrs,Not disclosed,Bengaluru,A Bachelor s degree At least 1-year Deep learning experience Tensorflow / Keras / Pyt...,"deep learning
Data analysis
GIT
Analytical
MySQL
Machine learning
data visualization
Data mining"
Security Data Scientist,https://www.naukri.com/job-listings-security-data-scientist-arctic-wolf-networks-bengaluru-0-to-6-years-020824502224,Arctic Wolf Networks,0-6 Yrs,Not disclosed,Bengaluru,"Experience using key ML libraries including scikit-learn, tensorflow, pytorch, sparkmlE...","Automation
Data analysis
cyber security
Information security
Machine learning
Genetics
Distribution system
Operations"
Data Scientist,https://www.naukri.com/job-listings-data-scientist-jash-data-sciences-pune-0-to-5-years-051224504516,Jash Data Sciences,0-5 Yrs,Not disclosed,Pune,. Qualification . 0-5 years of experience working on Data Science projects . Bachelors/...,"Computer science
Performance tuning
GIT
Postgresql
Django
Machine learning
OLAP
OLTP"
Data Scientist,https://www.naukri.com/job-listings-data-scientist-ge-india-ltd-bengaluru-0-to-7-years-200125500337,GE India Ltd,0-7 Yrs,Not disclosed,Bengaluru,. Education Qualification . Bachelors Degree in Computer Science or u201CSTEMu201D Majo...,"Computer science
data cleansing
Process optimization
Process control
Machine learning
Data quality
Asset management
Stakeholder management"
DATA SCIENTIST WITH PYTHON,https://www.naukri.com/job-listings-data-scientist-with-python-brain-insight-atpadi-vellore-0-to-1-years-080125502369,Brain Insight,0-1 Yrs,Not disclosed,"Atpadi, Vellore",Looking for Freshers or 0-1 Year Experience Experience with the Django framework for bu...,"Automation
Data analysis
Front end
data science
Data management
Database management
Django
SQL"
Data Scientist,https://www.naukri.com/job-listings-data-scientist-hbic-solutions-hyderabad-0-to-2-years-270723501100,Hbic Solutions,0-2 Yrs,Not disclosed,Hyderabad,". Data collection, processing and analysing the data and generating the reports provide...","deep learning
data science
Artificial Intelligence
Data collection
Packaging
Data analytics
Python
Testing"
Data Scientist,https://www.naukri.com/job-listings-data-scientist-scimitar-research-pune-0-to-1-years-090424501380,Scimitar Research,0-1 Yrs,Not disclosed,Pune,"Bachelor s or Master s degree in Data Science, Computer Science, Statistics, or a relat...","Computer science
Data analysis
PDF
data science
data manipulation
Demand forecasting
Machine learning
Programming"
ML / Data Scientist / Gen AI Specialist,https://www.naukri.com/job-listings-ml-data-scientist-gen-ai-specialist-aiqod-pune-0-to-4-years-010824500670,Aiqod,0-4 Yrs,Not disclosed,Pune,"Candidate should have a Bachelor s DegreeRequired Education, Experience & Skills . 0 t...","software architecture
Interpersonal skills
data science
Data modeling
Analytical
Machine learning
Data structures
Statistics"
Data Scientist| SQL| Pune,https://www.naukri.com/job-listings-data-scientist-sql-pune-gryphon-hytech-services-pune-0-to-5-years-100225009525,Gryphon Hytech Services,0-5 Yrs,Not disclosed,Pune,The ideal candidate should have a strong background in advanced analytics and machine l...,"Data Science
Machine Learning
SQL
Python
Machine
Data
Science"
Data Scientist,https://www.naukri.com/job-listings-data-scientist-p-s-international-hr-consultants-mumbai-0-to-7-years-081022500059,P S International HR Consultants,0-7 Yrs,Not disclosed,Mumbai,Skills-Sets Required: . . PythonInsurance industry experience,"Product management
Data analysis
Data modeling
Analytical
Database
model development
Analytics
SQL"
