role,applyLink,company,experience,salary,location,jobSummary,skills
Product Manager,https://www.naukri.com/job-listings-product-manager-appquarterz-technologies-private-limited-faridabad-0-to-2-years-060225915206,Appquarterz Technologies,0-2 Yrs,Not disclosed,Faridabad,"Have relevant experience in Conference, Figma, Lucid Chart, JIRA, Azure DevOps, VSTS Go...","Azure
Jira
Balsamiq
PLM
Figma
Product Strategy
Lucid Chart
User Experience"
Product Manager,https://www.naukri.com/job-listings-product-manager-shariwaa-pune-0-to-2-years-270624500372,Shariwaa,0-2 Yrs,Not disclosed,Pune,Experience with product development processes and methodologies Excellent strategic and...,"profitability
product strategy
project management
roadmap
business development
market research
sales
research"
Junior Product Manager-LMSL,https://www.naukri.com/job-listings-junior-product-manager-lmsl-the-kpi-institute-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-3-years-140225501384,The Kpi Institute,0-3 Yrs,Not disclosed,"Bengaluru, Mumbai, New Delhi, Kolkata, Hyderabad, Pune, Chennai","Bachelors degree in Business, Product Management, Project Management, or related field....","Product management
Analytical skills
Product quality
Interpersonal skills
Independent Contractor
Management systems
Project management
Agile development"
PRODUCT MANAGER,https://www.naukri.com/job-listings-product-manager-dcb-bank-limited-mumbai-0-to-1-years-300824501183,DCB Bank,0-1 Yrs,Not disclosed,Mumbai,DCB Bank Limited is looking for PRODUCT MANAGER to join our dynamic team and embark on ...,"PRODUCT
Production
Product management
Management"
Product Manager,https://www.naukri.com/job-listings-product-manager-dcb-bank-limited-mumbai-0-to-1-years-300824501182,DCB Bank,0-1 Yrs,Not disclosed,Mumbai,DCB Bank Limited is looking for Product Manager to join our dynamic team and embark on ...,"Product innovation
Management
Product management
Innovation"
PRODUCT MANAGER,https://www.naukri.com/job-listings-product-manager-dcb-bank-limited-mumbai-0-to-1-years-300824501181,DCB Bank,0-1 Yrs,Not disclosed,Mumbai,DCB Bank Limited is looking for PRODUCT MANAGER to join our dynamic team and embark on ...,"MORTGAGES
Mortgage
Management
Product management"
Product Manager,https://www.naukri.com/job-listings-product-manager-dcb-bank-limited-mumbai-0-to-1-years-300824500512,DCB Bank,0-1 Yrs,Not disclosed,Mumbai,DCB Bank Limited is looking for Product Manager to join our dynamic team and embark on ...,"product life cycle
Management
Product management
Life cycle"
PRODUCT MANAGER,https://www.naukri.com/job-listings-product-manager-l-t-finance-ltd-mumbai-0-to-6-years-050225505692,L T Finance LTD,0-6 Yrs,Not disclosed,Mumbai,Conducting market research and analysis to identify opportunities and understand custom...,"PRODUCT MANAGER
Product management
Management"
Product Manager,https://www.naukri.com/job-listings-product-manager-careerhunt-india-ambala-0-to-3-years-130225023585,Careerhunt India,0-3 Yrs,3.75-5 Lacs PA,Ambala,"Good knowledge of Laboratory Instruments, Glassware, Plasticware","Product Management
Laboratory Instruments
Glassware
Labware
Plasticware
Brainstorm Equipments
Instruments
Management"
Product Manager/ Freshers,https://www.naukri.com/job-listings-product-manager-freshers-ritco-logistics-gurugram-0-to-1-years-120225017073,Ritco Logistics,0-1 Yrs,2.5-5 Lacs PA,Gurugram(Udyog Vihar Phase 1),"MBA in Product Management or related field; strong communication, leadership, and analy...","Communication Skills
Market Research And Analysis
Presentation Skills
Strategic Thinking
Business Acumen
Technical Skills
Research
Presentation"
Transport product manager,https://www.naukri.com/job-listings-transport-product-manager-shiksha-infotech-navi-mumbai-bengaluru-0-to-0-years-180225010910,Shiksha Infotech,0 Yrs,3 Lacs PA,"Bengaluru, Navi Mumbai",Stay up-to-date on industry trends and best practices related to transportation managem...,"Communication Skills
Advanced Excel
Understanding about the product
Presentation Skills
Excellent Communication In English
Presentation
Management
English"
Associate Product Manager,https://www.naukri.com/job-listings-associate-product-manager-carefi-gurugram-0-to-2-years-050225500176,Care.fi Technological Solutions,0-2 Yrs,Not disclosed,Gurugram,Experience: 0-2 years in product management or related fields (internships count) Educa...,"product strategy
project management
product life cycle management
documentation
customer engagement
user stories
market research
tracking"
Associate Product Manager,https://www.naukri.com/job-listings-associate-product-manager-idfy-bengaluru-0-to-1-years-140225503073,Idfy,0-1 Yrs,Not disclosed,Bengaluru,Only IDfy combines enterprise-grade technology with business understanding and has the ...,"Product management
Data analysis
data science
Risk assessment
Product data management
Machine learning
Advanced Excel
Test cases"
Associate Product Manager,https://www.naukri.com/job-listings-associate-product-manager-idfy-mumbai-0-to-1-years-110225505555,Idfy,0-1 Yrs,Not disclosed,Mumbai,"Have at least 1 year of experience in product data management, and hold an engineering ...","Product management
Data analysis
data science
Risk assessment
Product data management
Machine learning
Advanced Excel
Test cases"
"Manager, Product Supply",https://www.naukri.com/job-listings-manager-product-supply-pg-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-2-years-090924501089,PG,0-2 Yrs,Not disclosed,"Bengaluru, Mumbai, New Delhi, Kolkata, Hyderabad, Pune, Chennai"," Lead the team and ensure loss identification and elimination across global measures...","Supply chain
Mechatronics
Manufacturing process
Supply chain operations
Large project management
HTTP
consumer goods
Analytics"
PRODUCT MANAGER- KCC,https://www.naukri.com/job-listings-product-manager-kcc-dcb-bank-limited-mumbai-nagpur-thane-nashik-pune-aurangabad-0-to-1-years-300824501184,DCB Bank,0-1 Yrs,Not disclosed,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",DCB Bank Limited is looking for PRODUCT MANAGER- KCC to join our dynamic team and embar...,"PRODUCT
Kam
Management
Product management
Production"
Associate Product Manager,https://www.naukri.com/job-listings-associate-product-manager-dcb-bank-limited-mumbai-0-to-1-years-300824500124,DCB Bank,0-1 Yrs,Not disclosed,Mumbai,DCB Bank Limited is looking for Associate Product Manager to join our dynamic team and ...,"Sales
Product management
Management"
Associate Product Manager,https://www.naukri.com/job-listings-associate-product-manager-dcb-bank-limited-mumbai-0-to-1-years-300824500123,DCB Bank,0-1 Yrs,Not disclosed,Mumbai,DCB Bank Limited is looking for Associate Product Manager to join our dynamic team and ...,"Planning Skills
Management
Product management
Planning"
Product Manager Intern,https://www.naukri.com/job-listings-product-manager-intern-rezlytix-technologies-bengaluru-0-to-1-years-171224501073,Rezlytix Technologies,0-1 Yrs,Not disclosed,Bengaluru," Collaborate with our cross-functional teams to define product strategies, user needs ...","Computer science
deep learning
Intern
Coding
Machine learning
Geophysics
Signal processing
Electricals"
Product Manager - Education Loans,https://www.naukri.com/job-listings-product-manager-education-loans-tata-capital-ltd-mumbai-0-to-2-years-121224500007,Tata Capital,0-2 Yrs,Not disclosed,Mumbai,"Strategically responsible for customer experience - Innovation, Conceptualize and Imple...","Loans
Automation
Interpersonal skills
Product life cycle management
Data collection
Customer service
Customer experience
digital transformation"
Product Manager,https://www.timesjobs.com/job-detail/product-manager-seven-consultancy-hyderabad-secunderabad-0-to-3-yrs-jobid-tHubIn__SLASH__VOFFzpSvf__PLUS__uAgZw==&source=srp,SEVEN CONSULTANCY,0 - 3 Years,Not disclosed,Hyderabad/Secunderabad,JOB DETAILS1 ) Develop and quantify organization's value proposition over traditional material2 ) Prepare customer impact statements and customer va...,production water treatment product development project handling +1 more
Product Manager,https://www.timesjobs.com/job-detail/product-manager-energos-services-india-bengaluru-bangalore-0-to-3-yrs-jobid-f6OWYoHdu3BzpSvf__PLUS__uAgZw==&source=srp,energos services india,0 - 3 Years,Not disclosed,Bengaluru / Bangalore,:Crystallize new product ideas and product enhancements to the existing product by closely working with all the stakeholders and customers.finalize th...,product design enhancements product development ideas +1 more
Product Manager,https://www.timesjobs.com/job-detail/product-manager-limitless-mobility-solutions-private-limited-noida-greater-noida-0-to-3-yrs-jobid-a7lAv79OHblzpSvf__PLUS__uAgZw==&source=srp,Limitless Mobility Solutions Private Limited,0 - 3 Years,Not disclosed,Noida/Greater Noida,"You will work with cross-functional teams to design , build and rollout products that consumers love. You will be responsible for the product plannin...",design engineering build and rollout products defining the product vision +1 more
Product Manager,https://www.timesjobs.com/job-detail/product-manager-connecting-2-work-bengaluru-bangalore-0-to-3-yrs-jobid-ZrQ0__SLASH__Flp3kFzpSvf__PLUS__uAgZw==&source=srp,CONNECTING 2 WORK,0 - 3 Years,Not disclosed,Bengaluru / Bangalore,Job Description ResponsibilitiesCreates a prototype of a new product in order to iron out flaws in the final designDetermines the process for creating...,marketing skills research market marketing campaigns
Product Manager,https://www.timesjobs.com/job-detail/product-manager-digital-marketing-school-network-delhi-0-to-3-yrs-jobid-XWDsb80igv5zpSvf__PLUS__uAgZw==&source=srp,Digital Marketing School Network,0 - 3 Years,Not disclosed,Delhi,Product Manager Job Description Determine Customer's need and desires by doing the specific research needed to obtain the market.Has responsible to ma...,production implementation planning mass production
