role,applyLink,company,experience,salary,location,jobSummary,skills
Python Developer,https://www.naukri.com/job-listings-python-developer-bonami-software-noida-0-to-2-years-220225009589,Bonami Software,0-2 Yrs,3-6 Lacs PA,Noida(Sector-63 Noida),"Must have hands-on experience in Data Structure like List, Dict, Set, Strings, Lambda, ...","Software Engineering
Django
Python
Data Structures
ORM
Machine Learning
Backend Development
Backend Programming Language"
Python Developer,https://www.naukri.com/job-listings-python-developer-acciojob-mumbai-pune-0-to-2-years-210225020261,Acciojob,0-2 Yrs,5-8 Lacs PA,"Mumbai, Pune","Internship Stipend - 15k - 25k Internship Duration - 3 months Year of Graduation: 2023,...","Django
Python
Flask
SQL
Python Development
Development"
Python Developer,https://www.naukri.com/job-listings-python-developer-algodom-media-llp-noida-0-to-2-years-140225501473,Byteview Technologies,0-2 Yrs,Not disclosed,Noida,". Must have experience in REST API design, TDD, and best practices . Must have experien...","GIT
TDD
Analytical
Architectural design
MySQL
Javascript
MVC
Python"
Python Developer,https://www.naukri.com/job-listings-python-developer-thoughts2binary-gurugram-0-to-2-years-281221000347,Thoughts2Binary,0-2 Yrs,Not disclosed,Gurugram," Job Description: Good understanding of Python / Django / Flask tech stack with exposur...","Application Programming
Github
Programming
Rest Api
Software Development
S3
OOPS
JSON"
Python Developer,https://www.naukri.com/job-listings-python-developer-appzlogic-mobility-solutions-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-3-years-121124502854,Appzlogic,0-3 Yrs,Not disclosed,"Bengaluru, Mumbai, New Delhi, Kolkata, Hyderabad, Pune, Chennai",Appzlogic Mobility Solutions Pvt Ltd is looking for Python Developer to join our dynami...,"python
css
c
software testing
natural language processing
python development
machine learning
artificial intelligence"
Python Developer,https://www.naukri.com/job-listings-python-developer-consultit-noida-0-to-4-years-020724502596,Consultit,0-4 Yrs,Not disclosed,Noida,ConsultIT is looking for Python Developer to join our dynamic team and embark on a rewa...,"python
css
c
software testing
natural language processing
python development
machine learning
artificial intelligence"
Python Developer,https://www.naukri.com/job-listings-python-developer-hashstudioz-technologies-pvt-ltd-noida-0-to-3-years-260624501702,Hashstudioz Technologies,0-3 Yrs,Not disclosed,Noida,"Requirements:1 . Strong proficiency in Python, including knowledge of Python frameworks...","rest
python
css
data analysis
software development
python development
javascript
application development"
Python Developer,https://www.naukri.com/job-listings-python-developer-hunter-tech-ventures-pvt-ltd-bengaluru-0-to-2-years-140524501680,Huntertech Ventures,0-2 Yrs,Not disclosed,Bengaluru,Hunter Tech Ventures Pvt Ltd is looking for Python Developer to join our dynamic team a...,"python
css
c
software testing
natural language processing
python development
machine learning
artificial intelligence"
Python Software Developer,https://www.naukri.com/job-listings-python-software-developer-smart-placement-services-pune-bengaluru-0-to-1-years-170225012348,Confidential,0-1 Yrs,1.75-3 Lacs PA,"Hybrid - Bengaluru, Pune",we are hiring for Python Developers Location : Hyderabad and Bangalore Package : 1.8L-3...,"Django
Python Development
Python Framework
Software development
Python
Framework
Software
Development"
Python Developer,https://www.naukri.com/job-listings-python-developer-capgemini-technology-services-india-limited-bengaluru-0-to-4-years-040225910989,Capgemini,0-4 Yrs,Not disclosed,Bengaluru,More than a year of relevant experience in software engineering with solid programming ...,"software design
software engineering
python
software development
python development
sql
docker
git"
