role,applyLink,company,experience,salary,location,jobSummary,skills
Software Developer Intern / Trainee,https://www.naukri.com/job-listings-software-developer-intern-trainee-techavidus-gandhinagar-0-to-1-years-170225906464,Techavidus,0-1 Yrs,Not disclosed,Gandhinagar,Summary. Intern Requirements . A final year Student or Recent Graduate in Computer Scie...,"Asp.Net MVC
Java
Software development
Node JS
Web Designing
Angular
React JS
Web technologies"
Software Developers,https://www.naukri.com/job-listings-software-developers-oxygen-homes-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-0-to-1-years-130519500007,Oxyzen Homes,0-1 Yrs,Not disclosed,"Bangalore/Bengaluru, Mumbai, Hyderabad/Secunderabad, New Delhi, Kolkata, Pune, Chennai","Proficient in Asp, .Net, VB, VC++. You ought to develop both windows and web applicatio...","Web technologies
VC++
ASP.Net
Windows
VB
software development
software
development"
Software Developers ( VB & MSSQL ),https://www.naukri.com/job-listings-software-developers-vb-mssql-syscon-solutions-private-limited-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-2-years-170125502592,Syscon Solutions,0-2 Yrs,Not disclosed,"Bengaluru, Mumbai, New Delhi, Kolkata, Hyderabad, Pune, Chennai",The candidates should have very good knowledge on the above mentioned technologies with...,"Tally
ERP
MS SQL
Version control
VB.NET
C
Database design
Visual Studio"
Software Developer 5,https://www.naukri.com/job-listings-software-developer-5-oracle-india-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-8-years-030125504696,Oracle,0-8 Yrs,Not disclosed,"Bengaluru, Mumbai, New Delhi, Kolkata, Hyderabad, Pune, Chennai"," Oracle Health Applications & Infrastructure (OHAI) is hiring in its OHAI Platform & P...","C++
Debugging
Javascript
Agile
Data structures
Healthcare
HTTP
Oracle"
Software Developer,https://www.naukri.com/job-listings-software-developer-ocean-techventures-noida-gurugram-delhi-ncr-0-to-1-years-140225017874,Ocean Techventures,0-1 Yrs,Not disclosed,"Delhi / NCR, Noida, Gurugram","Bachelor / Masters Degree in Computer Science or equivalent (BTech/ MTech, BCA / MCA) R...","Java
C#
DSA
OOPS
Development
Software
Software development"
Fresher Software Developer,https://www.naukri.com/job-listings-fresher-software-developer-mauve-technologies-noida-0-to-1-years-090920500114,Mauve Technologies,0-1 Yrs,Not disclosed,Noida," JOB ROLE We are working on building a big, disruptive, high-end, pan-India eCo...","SOA
MySQL
Javascript
Mentor
PHP
Windows
Oracle
SEO"
Software developer,https://www.naukri.com/job-listings-software-developer-acme-hr-consulting-gurugram-0-to-2-years-060423500395,Acme Hr Consulting,0-2 Yrs,Not disclosed,Gurugram,"In this role, you should be a team player with a keen eye for detail and problem-solvin...","HTML;Javascript
Software design
Coding
Agile development
Software development life cycle
Detail engineering
Troubleshooting
Python"
Software Developer,https://www.naukri.com/job-listings-software-developer-j-r-technology-noida-0-to-1-years-011223500441,jr Technology,0-1 Yrs,Not disclosed,Noida,"Hiring creative, passionate, innovative programmers who can build and maintain good qua...","Product quality
OSCommerce
Coding
MySQL
Wordpress
Javascript
PHP
HTML"
Software Developer,https://www.naukri.com/job-listings-software-developer-saffiretech-mumbai-mumbai-suburban-mumbai-all-areas-0-to-1-years-120225011024,Saffiretech,0-1 Yrs,3.25 Lacs PA,"Mumbai(Borivali West), Mumbai Suburban, Mumbai (All Areas)","Graduation - BE / BTech / MCA/ MCS Preferred candidate profile . Proficient in MySQL, J...","Coding
Java
C++
CSS
MySQL
Javascript
C Programming Language
HTML"
Software Developer,https://www.naukri.com/job-listings-software-developer-nido-machineries-pvt-ltd-mumbai-0-to-2-years-270624500305,Nido Machineries,0-2 Yrs,Not disclosed,Mumbai,NIDO MACHINERIES PVT LTD is looking for Software Developer to join our dynamic team and...,"c++
css
hibernate
jquery
sql
spring
java
oops"
