role,applyLink,company,experience,salary,location,jobSummary,skills
Trainee - UI/UX Developer,https://www.naukri.com/job-listings-trainee-ui-ux-developer-spacelinkers-infotech-private-limited-noida-0-to-1-years-050225505820,Spacelinkers Infotech,0-1 Yrs,Not disclosed,Noida,You should have experience with design software and wireframe tools,"CSS
Illustrator
HTML
Photoshop
Adobe
UI
UI development
Training And Development"
UI / UX Developer,https://www.naukri.com/job-listings-ui-ux-developer-sodhani-infotech-pvt-ltd-mumbai-0-to-2-years-100419501235,Sodhani Infotech,0-2 Yrs,Not disclosed,Mumbai," Job Description: Design and develop features and modules for e-Commerce application...","Backend
CSS
jQuery
Front end
Web technologies
Javascript
PHP
E-commerce"
UI/UX Developer,https://www.naukri.com/job-listings-ui-ux-developer-ici-india-limited-bengaluru-0-to-2-years-231023500408,AkzoNobel India,0-2 Yrs,Not disclosed,Bengaluru,Bachelor s in computer science or EngineeringPreferred Qualifications: . . 0-2 years o...,"Css3
User Experience Design
Responsive Web Design
Html5
Javascript
Dreamweaver
Photoshop
UI"
"Freshers UX UI Developer(html, css, Javascript, Bootstrap)",https://www.naukri.com/job-listings-freshers-ux-ui-developer-html-css-javascript-bootstrap-progryss-media-noida-0-to-1-years-050225011332,Progryss Media,0-1 Yrs,1-2.5 Lacs PA,Noida,"Collaborate with the development team to design, develop, and maintain web applications...","HTML
HTML 5
CSS
Dream viewer
Angular
DHTML
Adobe Reader
JavaScript"
UI/UX Designer iOS Developer,https://www.naukri.com/job-listings-ui-ux-designer-ios-developer-goomi-technology-lucknow-0-to-3-years-010724500870,Goomi Technology,0-3 Yrs,Not disclosed,Lucknow,Goomi Technology is looking for UI/UX Designer iOS Developer to join our dynamic team a...,"css
dreamweaver
ux
adobe xd
user interface designing
ui development
photoshop
bootstrap"
UI/UX Developer,https://www.naukri.com/job-listings-ui-ux-developer-pebble-softwares-belgaum-0-to-4-years-030724502003,Pebble Softwares,0-4 Yrs,Not disclosed,Belgaum,"Represent FORMCEPT and demo products and applications at various meetups, conferences a...","Product quality
QA
Usage
html5
devops
Javascript
Data structures
bootstrap"
SOFTWARE DEVELOPER/ENGINEER[UI/UX DEVELOPER],https://www.naukri.com/job-listings-software-developer-engineer-ui-ux-developer-myospaz-software-technologies-pune-0-to-3-years-300421500605,Myospaz Software Technologies,0-3 Yrs,Not disclosed,Pune," Knowledge of Asp.net and VB.Net with C#.net using AJAX and MVC and SQL. Strong Kn...","jQuery
VB.NET
OOPS
Javascript
ASP.Net
MVC
bootstrap
SQL"
UI / UX Developer,https://www.naukri.com/job-listings-ui-ux-developer-kbk-business-solutions-hyderabad-0-to-1-years-040723500171,KBK Business Solutions,0-1 Yrs,Not disclosed,Hyderabad,. We are looking for a fresher who will be responsible for creating great websites and ...,"Content management
Backend
Coding
Analytical
Engineering Manager
HTML
Photoshop
Troubleshooting"
UI/UX Developer,https://www.naukri.com/job-listings-ui-ux-developer-apparrant-technologies-pvt-ltd-noida-noida-0-to-4-years-040121500870,Apparrant Technologies Pvt.ltd.,0-4 Yrs,Not disclosed,"Noida, noida","As a UI-UX Designer, you will be responsible for delivering the best online user experi...","Client satisfaction
User interface designing
Illustrator
Digital design
Web development
Agile
Tool design
Photoshop"
Ui Ux Developer,https://www.naukri.com/job-listings-ui-ux-developer-90-north-ahmedabad-0-to-3-years-310125022505,90 North,0-3 Yrs,3-7 Lacs PA,Ahmedabad,"You will be responsible for gathering user requirements, designing interfaces, and cont...","User Research
Visual Design
Wireframing
Coding Basics
typography
Adobe XD
Design Software Proficiency
prototypes."
JUNIOR ENGINEER - FRONT END ,https://www.naukri.com/job-listings-junior-engineer-front-end-saaranga-infotech-llp-bengaluru-0-to-2-years-270624500348,Saaranga Infotech,0-2 Yrs,Not disclosed,Bengaluru,Saaranga Infotech LLP. is looking for JUNIOR ENGINEER - FRONT END to join our dynamic t...,"front end
css
ux
web application
user interface designing
ui development
photoshop
bootstrap"
UI / UX Developer,https://www.naukri.com/job-listings-ui-ux-developer-apparrant-technologies-pvt-ltd-noida-0-to-4-years-080322500214,Apparrant Technologies Pvt.ltd.,0-4 Yrs,Not disclosed,Noida,"As a UI-UX Designer, you will be responsible for delivering the best online user experi...","User research
Adobe Acrobat
User interface designing
Illustrator
Digital design
Agile
Tool design
Photoshop"
